arm,epoch,physics_regularization
gan_sec,19499,5.715543e-02
gan_sec,19599,5.699380e-02
gan_sec,19699,9.910899e-02
gan_sec,19799,1.625206e-01
gan_sec,19899,1.743597e-01
gan_sec,19999,1.501783e-01
gan_sec,20099,1.587839e-01
gan_sec,20199,2.269349e-01
gan_sec,20299,1.501096e-01
gan_sec,20399,2.119350e-01
gan_sec,20499,1.931696e-01
gan_sec,20599,1.411799e-01
gan_sec,20699,1.124633e-01
gan_sec,20799,1.535915e-01
gan_sec,20899,1.180502e-01
gan_sec,20999,1.147952e-01
gan_sec,21099,9.123240e-02
gan_sec,21199,9.628776e-02
gan_sec,21299,8.495393e-02
gan_sec,21399,1.039447e-01
gan_sec,21499,1.222099e-01
gan_sec,21599,1.002897e-01
gan_sec,21699,8.067369e-02
gan_sec,21799,7.467591e-02
gan_sec,21899,1.573956e-01
gan_sec,21999,8.214206e-02
gan_sec,22099,1.050170e-01
gan_sec,22199,1.247434e-01
gan_sec,22299,9.412748e-02
gan_sec,22399,9.512560e-02
gan_sec,22499,1.065071e-01
gan_sec,22599,1.091104e-01
gan_sec,22699,1.006959e-01
gan_sec,22799,1.393775e-01
gan_sec,22899,9.913421e-02
gan_sec,22999,9.503742e-02
gan_sec,23099,1.190196e-01
gan_sec,23199,1.125888e-01
gan_sec,23299,8.491353e-02
gan_sec,23399,9.177766e-02
gan_sec,23499,9.742150e-02
gan_sec,23599,7.863595e-02
gan_sec,23699,8.994341e-02
gan_sec,23799,1.105625e-01
gan_sec,23899,1.049708e-01
gan_sec,23999,1.078981e-01
gan_sec,24099,9.795723e-02
gan_sec,24199,1.270849e-01
gan_sec,24299,9.196012e-02
gan_sec,24399,1.719048e-01
gan_sec,24499,8.845295e-02
gan_sec,24599,9.252238e-02
gan_sec,24699,7.004364e-02
gan_sec,24799,9.522609e-02
gan_sec,24899,1.661067e-01
gan_sec,24999,8.685171e-02
gan_sec,25099,6.170670e-02
gan_sec,25199,7.631107e-02
gan_sec,25299,7.943657e-02
gan_sec,25399,6.872194e-02
gan_sec,25499,1.415909e-01
gan_sec,25599,7.484618e-02
gan_sec,25699,9.950438e-02
gan_sec,25799,9.075566e-02
gan_sec,25899,7.879261e-02
gan_sec,25999,1.658550e-01
gan_sec,26099,1.242741e-01
gan_sec,26199,1.056144e-01
gan_sec,26299,9.798770e-02
gan_sec,26399,8.336209e-02
gan_sec,26499,8.786751e-02
gan_sec,26599,9.027558e-02
gan_sec,26699,9.190965e-02
gan_sec,26799,1.070877e-01
gan_sec,26899,8.799905e-02
gan_sec,26999,1.265703e-01
gan_sec,27099,7.864346e-02
gan_sec,27199,1.313025e-01
gan_sec,27299,1.111226e-01
gan_sec,27399,9.909645e-02
gan_sec,27499,7.692988e-02
gan_sec,27599,1.432594e-01
gan_sec,27699,1.134676e-01
gan_sec,27799,1.085307e-01
gan_sec,27899,1.473484e-01
gan_sec,27999,1.436362e-01
gan_sec,28099,1.605589e-01
gan_sec,28199,1.637160e-01
gan_sec,28299,1.474579e-01
gan_sec,28399,1.126615e-01
gan_sec,28499,8.916180e-02
gan_sec,28599,1.141278e-01
gan_sec,28699,1.483697e-01
gan_sec,28799,1.670806e-01
gan_sec,28899,1.678313e-01
gan_sec,28999,1.275381e-01
gan_sec,29099,1.220869e-01
gan_sec,29199,1.208556e-01
gan_sec,29299,8.352178e-02
gan_sec,29399,7.819785e-02
gan_sec,29499,8.764719e-02
gan_sec,29599,7.001233e-02
gan_sec,29699,1.317751e-01
gan_sec,29799,8.644772e-02
gan_sec,29899,1.131973e-01
gan_sec,29999,1.491123e-01
gan_sec,30099,1.603784e-01
gan_sec,30199,1.263747e-01
gan_sec,30299,1.693693e-01
gan_sec,30399,1.573438e-01
gan_sec,30499,1.385222e-01
gan_sec,30599,1.321456e-01
gan_sec,30699,1.601419e-01
gan_sec,30799,1.227608e-01
gan_sec,30899,1.202147e-01
gan_sec,30999,1.290410e-01
gan_sec,31099,1.107517e-01
gan_sec,31199,1.266520e-01
gan_sec,31299,1.451189e-01
gan_sec,31399,8.284879e-02
gan_sec,31499,6.612484e-02
gan_sec,31599,1.287695e-01
gan_sec,31699,1.007516e-01
gan_sec,31799,8.109719e-02
gan_sec,31899,9.444052e-02
gan_sec,31999,1.104667e-01
gan_sec,32099,1.084580e-01
gan_sec,32199,8.923707e-02
gan_sec,32299,1.190037e-01
gan_sec,32399,1.111942e-01
gan_sec,32499,4.253830e-02
gan_sec,32599,1.127067e-01
gan_sec,32699,1.013782e-01
gan_sec,32799,7.017209e-02
gan_sec,32899,9.702945e-02
gan_sec,32999,9.981509e-02
gan_sec,33099,1.082699e-01
gan_sec,33199,1.645204e-01
gan_sec,33299,1.377759e-01
gan_sec,33399,7.716949e-02
gan_sec,33499,9.191742e-02
gan_sec,33599,8.769035e-02
gan_sec,33699,1.697335e-01
gan_sec,33799,1.235551e-01
gan_sec,33899,1.072262e-01
gan_sec,33999,1.564410e-01
gan_sec,34099,1.008539e-01
gan_sec,34199,9.334190e-02
gan_sec,34299,9.622633e-02
gan_sec,34399,1.205473e-01
gan_sec,34499,7.848229e-02
gan_sec,34599,7.111083e-02
gan_sec,34699,9.293815e-02
gan_sec,34799,1.659799e-01
gan_sec,34899,1.589887e-01
gan_sec,34999,1.384206e-01
gan_sec,35099,7.521766e-02
gan_sec,35199,1.930517e-01
gan_sec,35299,1.656323e-01
gan_sec,35399,9.841101e-02
gan_sec,35499,1.012712e-01
gan_sec,35599,1.363051e-01
gan_sec,35699,1.351904e-01
gan_sec,35799,1.931005e-01
gan_sec,35899,1.225038e-01
gan_sec,35999,1.312886e-01
gan_sec,36099,1.395724e-01
gan_sec,36199,1.523423e-01
gan_sec,36299,1.257529e-01
gan_sec,36399,1.488495e-01
gan_sec,36499,1.501676e-01
gan_sec,36599,1.748464e-01
gan_sec,36699,1.784554e-01
gan_sec,36799,2.129120e-01
gan_sec,36899,1.540784e-01
gan_sec,36999,1.076346e-01
gan_sec,37099,1.247946e-01
gan_sec,37199,1.328233e-01
gan_sec,37299,1.538822e-01
gan_sec,37399,1.210222e-01
gan_sec,37499,1.396032e-01
gan_sec,37599,1.436111e-01
gan_sec,37699,1.507896e-01
gan_sec,37799,1.082659e-01
gan_sec,37899,1.777531e-01
gan_sec,37999,1.163181e-01
gan_sec,38099,1.191161e-01
gan_sec,38199,1.200074e-01
gan_sec,38299,1.404508e-01
gan_sec,38399,1.557763e-01
gan_sec,38499,1.185062e-01
gan_sec,38599,1.562976e-01
gan_sec,38699,7.839475e-02
gan_sec,38799,1.207020e-01
gan_sec,38899,1.817476e-01
gan_sec,38999,1.159648e-01
gan_sec,39099,1.106583e-01
gan_sec,39199,1.003514e-01
gan_sec,39299,1.259540e-01
gan_sec,39399,1.717413e-01
